id,orthography,reading,masteryKey,bccwjRank,bccwjOrigin,edictCommon,inKyoikuBasicVocab,inRokusyuTaisyo,rawPos,verbClass,endingGroup,teFormPattern,transitivity,englishPrimary,englishGlosses,alternateSpellings,sameSpellingOtherReadings,allowedInflections,inflectionNotes,dictionary_jp,dictionary_reading,polite_jp,polite_reading,politePast_jp,politePast_reading,politeNegative_jp,politeNegative_reading,negative_jp,negative_reading,past_jp,past_reading,te_jp,te_reading,potential_jp,potential_reading,passive_jp,passive_reading,causative_jp,causative_reading,causativePassive_jp,causativePassive_reading,volitional_jp,volitional_reading,ba_jp,ba_reading,tara_jp,tara_reading,imperative_jp,imperative_reading,prohibitive_jp,prohibitive_reading
verb-0017,行う,おこなう,行う,85,和,True,True,True,v5u,godan,u,godan-って,transitive,perform,perform | do | conduct oneself | carry out,行なう,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,行う,おこなう,行います,おこないます,行いました,おこないました,行いません,おこないません,行わない,おこなわない,行った,おこなった,行って,おこなって,行える,おこなえる,行われる,おこなわれる,行わせる,おこなわせる,行わせられる,おこなわせられる,行おう,おこなおう,行えば,おこなえば,行ったら,おこなったら,行え,おこなえ,行うな,おこなうな
verb-0018,取る,とる,取る,86,和,True,True,True,v5r,godan,ru,godan-って,transitive,take,"take | pick up | harvest | earn | choose | steal | eat | have (a meal) | remove (one's glasses, etc.) | compete (in sumo, cards, etc.) | play",,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,取る,とる,取ります,とります,取りました,とりました,取りません,とりません,取らない,とらない,取った,とった,取って,とって,取れる,とれる,取られる,とられる,取らせる,とらせる,取らせられる,とらせられる,取ろう,とろう,取れば,とれば,取ったら,とったら,取れ,とれ,取るな,とるな
verb-0019,下さる,くださる,下さる,96,和,True,True,True,v5aru,honorific_aru,honorific_aru,honorific-aru-って,unspecified,give,give | confer,,[],ba | dictionary | negative | past | polite | politeNegative | politePast | prohibitive | tara | te | volitional,Honorific -aru verb: use precomputed forms; do not generate passive/causative drills for V1.,下さる,くださる,下さいます,くださいます,下さいました,くださいました,下さいません,くださいません,下さらない,くださらない,下さった,くださった,下さって,くださって,,,,,,,,,下さろう,くださろう,下されば,くだされば,下さったら,くださったら,,,下さるな,くださるな
verb-0020,使う,つかう,使う,101,和,True,True,True,v5u,godan,u,godan-って,transitive,"use (a thing, method, etc.)","use (a thing, method, etc.) | make use of | put to use | use (a person, animal, puppet, etc.) | employ | handle | manage | manipulate | use (time, money, etc.) | spend | consume | use (language) | speak | take (one's lunch) | circulate (bad money)",遣う,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,使う,つかう,使います,つかいます,使いました,つかいました,使いません,つかいません,使わない,つかわない,使った,つかった,使って,つかって,使える,つかえる,使われる,つかわれる,使わせる,つかわせる,使わせられる,つかわせられる,使おう,つかおう,使えば,つかえば,使ったら,つかったら,使え,つかえ,使うな,つかうな
verb-0021,聞く,きく,聞く,105,和,True,True,True,v5k,godan,ku,godan-いて,transitive,hear,hear | listen (e.g. to music) | ask | enquire | query | smell (esp. incense) | sample fragrance,聴く | 訊く,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,聞く,きく,聞きます,ききます,聞きました,ききました,聞きません,ききません,聞かない,きかない,聞いた,きいた,聞いて,きいて,聞ける,きける,聞かれる,きかれる,聞かせる,きかせる,聞かせられる,きかせられる,聞こう,きこう,聞けば,きけば,聞いたら,きいたら,聞け,きけ,聞くな,きくな
verb-0022,呉れる,くれる,呉れる,107,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,transitive,give,give | let one have | do for one | be given,,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,呉れる,くれる,呉れます,くれます,呉れました,くれました,呉れません,くれません,呉れない,くれない,呉れた,くれた,呉れて,くれて,呉れられる,くれられる,呉れられる,くれられる,呉れさせる,くれさせる,呉れさせられる,くれさせられる,呉れよう,くれよう,呉れれば,くれれば,呉れたら,くれたら,呉れろ,くれろ,呉れるな,くれるな
verb-0023,知る,しる,知る,109,和,True,True,True,v5r,godan,ru,godan-って,transitive,know,know | understand | be acquainted with | feel,識る,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,知る,しる,知ります,しります,知りました,しりました,知りません,しりません,知らない,しらない,知った,しった,知って,しって,知れる,しれる,知られる,しられる,知らせる,しらせる,知らせられる,しらせられる,知ろう,しろう,知れば,しれば,知ったら,しったら,知れ,しれ,知るな,しるな
verb-0024,置く,おく,置く,117,和,True,True,True,v5k,godan,ku,godan-いて,unspecified,put,put | place | leave (behind) | do something in advance (usu. following te-form verb),,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,置く,おく,置きます,おきます,置きました,おきました,置きません,おきません,置かない,おかない,置いた,おいた,置いて,おいて,置ける,おける,置かれる,おかれる,置かせる,おかせる,置かせられる,おかせられる,置こう,おこう,置けば,おけば,置いたら,おいたら,置け,おけ,置くな,おくな
verb-0025,入る,はいる,入る,121,和,True,True,True,v5r,godan,ru,godan-って,intransitive,enter,enter | break into | join | enroll | contain | hold | accommodate | have (an income of),這入る,"[{""reading"": ""いる"", ""rank_bccwj"": 2216, ""english_primary"": ""get in""}]",ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,入る,はいる,入ります,はいります,入りました,はいりました,入りません,はいりません,入らない,はいらない,入った,はいった,入って,はいって,入れる,はいれる,入られる,はいられる,入らせる,はいらせる,入らせられる,はいらせられる,入ろう,はいろう,入れば,はいれば,入ったら,はいったら,入れ,はいれ,入るな,はいるな
verb-0026,作る,つくる,作る,124,和,True,True,True,v5r,godan,ru,godan-って,transitive,make,"make | produce | manufacture | build | construct | prepare (food) | brew (alcohol) | raise | grow | cultivate | train | till | draw up (a document) | make out | prepare | write | create (an artistic work, etc.) | compose | coin (a phrase) | organize | organise | establish | found | have (a child) | make up (one's face, etc.)",造る | 創る,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,作る,つくる,作ります,つくります,作りました,つくりました,作りません,つくりません,作らない,つくらない,作った,つくった,作って,つくって,作れる,つくれる,作られる,つくられる,作らせる,つくらせる,作らせられる,つくらせられる,作ろう,つくろう,作れば,つくれば,作ったら,つくったら,作れ,つくれ,作るな,つくるな
verb-0027,出す,だす,出す,138,和,True,True,True,v5s,godan,su,godan-して,transitive,take out,take out | get out | put out | reveal | show | submit (e.g. thesis) | turn in | publish | make public | send (e.g. letter) | produce (a sound) | start (fire) | serve (food) | begin,,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,出す,だす,出します,だします,出しました,だしました,出しません,だしません,出さない,ださない,出した,だした,出して,だして,出せる,だせる,出される,だされる,出させる,ださせる,出させられる,ださせられる,出そう,だそう,出せば,だせば,出したら,だしたら,出せ,だせ,出すな,だすな
verb-0028,付ける,つける,付ける,152,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,transitive,attach,attach | join | add | append | affix | stick | glue | fasten | sew on | apply (ointment) | furnish (a house with) | wear | put on | keep a diary | make an entry | appraise | set (a price) | bring alongside | place (under guard or doctor) | follow | shadow | load | give (courage to) | keep (an eye on) | establish (relations or understanding),着ける | 附ける,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,付ける,つける,付けます,つけます,付けました,つけました,付けません,つけません,付けない,つけない,付けた,つけた,付けて,つけて,付けられる,つけられる,付けられる,つけられる,付けさせる,つけさせる,付けさせられる,つけさせられる,付けよう,つけよう,付ければ,つければ,付けたら,つけたら,付けろ,つけろ,付けるな,つけるな
verb-0029,付く,つく,付く,154,和,False,True,True,v5k,godan,ku,godan-いて,intransitive,be attached,"be attached | be connected with | adhere | stick | cling | remain imprinted | scar | stain | dye | bear (fruit, interest, etc.) | be acquired (of a habit, ability, etc.) | increase (of strength, etc.) | take root | accompany | attend | follow | study with | side with | belong to | possess | haunt | be lit | be lighted | be settled | be resolved",,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,付く,つく,付きます,つきます,付きました,つきました,付きません,つきません,付かない,つかない,付いた,ついた,付いて,ついて,付ける,つける,付かれる,つかれる,付かせる,つかせる,付かせられる,つかせられる,付こう,つこう,付けば,つけば,付いたら,ついたら,付け,つけ,付くな,つくな
verb-0030,受ける,うける,受ける,158,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,both,receive,"receive | get | catch (e.g. a ball) | be struck by (wind, waves, sunlight, etc.) | sustain (damage) | incur (a loss) | suffer (an injury) | feel (influence) | undergo (e.g. surgery) | take (a test) | accept (a challenge) | be given (e.g. life, talent) | follow | succeed | be descended from | face (south, etc.) | {ling} (esp. 受ける, 承ける) to be modified by | obtain (a pawned item, etc.) by paying a fee | be well-received | become popular | go down well",請ける | 承ける | 享ける,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,受ける,うける,受けます,うけます,受けました,うけました,受けません,うけません,受けない,うけない,受けた,うけた,受けて,うけて,受けられる,うけられる,受けられる,うけられる,受けさせる,うけさせる,受けさせられる,うけさせられる,受けよう,うけよう,受ければ,うければ,受けたら,うけたら,受けろ,うけろ,受けるな,うけるな
verb-0031,書く,かく,書く,166,和,True,True,True,v5k,godan,ku,godan-いて,transitive,write,write | draw,,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,書く,かく,書きます,かきます,書きました,かきました,書きません,かきません,書かない,かかない,書いた,かいた,書いて,かいて,書ける,かける,書かれる,かかれる,書かせる,かかせる,書かせられる,かかせられる,書こう,かこう,書けば,かけば,書いたら,かいたら,書け,かけ,書くな,かくな
verb-0032,貰う,もらう,貰う,167,和,True,True,True,v5u,godan,u,godan-って,transitive,receive,"receive | take | accept | get somebody to do something (follows a verb in ""te"" form)",,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,貰う,もらう,貰います,もらいます,貰いました,もらいました,貰いません,もらいません,貰わない,もらわない,貰った,もらった,貰って,もらって,貰える,もらえる,貰われる,もらわれる,貰わせる,もらわせる,貰わせられる,もらわせられる,貰おう,もらおう,貰えば,もらえば,貰ったら,もらったら,貰え,もらえ,貰うな,もらうな
verb-0033,得る,える,得る,171,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,transitive,get,"get | acquire | obtain | procure | earn | win | gain | secure | attain | be able to ..., can ...",獲る,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,得る,える,得ます,えます,得ました,えました,得ません,えません,得ない,えない,得た,えた,得て,えて,得られる,えられる,得られる,えられる,得させる,えさせる,得させられる,えさせられる,得よう,えよう,得れば,えれば,得たら,えたら,得ろ,えろ,得るな,えるな
verb-0034,掛ける,かける,掛ける,172,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,transitive,hang (e.g. picture),"hang (e.g. picture) | hoist (e.g. sail) | raise (e.g. flag) | sit | take (time, money) | expend (money, time, etc.) | make (a call) | multiply | secure (e.g. lock) | put on (glasses, etc.) | cover | burden someone | apply (insurance) | turn on (an engine, etc.) | set (a dial, an alarm clock, etc.) | put an effect (spell, anaesthetic, etc.) on | hold an emotion for (pity, hope, etc.) | bind | pour (or sprinkle, spray, etc.) onto | argue (in court) | deliberate (in a meeting) | present (e.g. idea to a conference, etc.) | increase further | catch (in a trap, etc.) | set atop",懸ける,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,掛ける,かける,掛けます,かけます,掛けました,かけました,掛けません,かけません,掛けない,かけない,掛けた,かけた,掛けて,かけて,掛けられる,かけられる,掛けられる,かけられる,掛けさせる,かけさせる,掛けさせられる,かけさせられる,掛けよう,かけよう,掛ければ,かければ,掛けたら,かけたら,掛けろ,かけろ,掛けるな,かけるな
verb-0035,知れる,しれる,知れる,185,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,intransitive,become known,"become known | come to light | be discovered | be known | be understood | obviously not amount to much | seem trivial | be evident | be obvious | go without saying | be very intense (worry, hope, etc.) | be extremely severe",,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,知れる,しれる,知れます,しれます,知れました,しれました,知れません,しれません,知れない,しれない,知れた,しれた,知れて,しれて,知れられる,しれられる,知れられる,しれられる,知れさせる,しれさせる,知れさせられる,しれさせられる,知れよう,しれよう,知れれば,しれれば,知れたら,しれたら,知れろ,しれろ,知れるな,しれるな
verb-0036,入れる,いれる,入れる,190,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,transitive,put in,"put in | let in | take in | bring in | insert | set (a jewel, etc.) | ink in (e.g. a tattoo) | admit | accept | employ | hire | comply | grant | adopt (a policy, etc.) | take (advice, etc.) | listen to | pay attention to | include | pay (one's rent, etc.) | cast (a vote) | make (tea, coffee, etc.) | turn on (a switch, etc.) | send (a fax) | call",容れる | 函れる,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,入れる,いれる,入れます,いれます,入れました,いれました,入れません,いれません,入れない,いれない,入れた,いれた,入れて,いれて,入れられる,いれられる,入れられる,いれられる,入れさせる,いれさせる,入れさせられる,いれさせられる,入れよう,いれよう,入れれば,いれれば,入れたら,いれたら,入れろ,いれろ,入れるな,いれるな
verb-0037,上げる,あげる,上げる,196,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,both,raise,"raise | elevate | do up (one's hair) | fly (a kite, etc.) | launch (fireworks, etc.) | surface (a submarine, etc.) | land (a boat) | deep-fry | show someone (into a room) | summon (for geishas, etc.) | send someone (away) | enrol (one's child in school) | enroll | increase (price, quality, status, etc.) | develop (talent, skill) | improve | make (a loud sound) | raise (one's voice) | earn (something desirable) | praise | give (an example, etc.) | cite | summon up (all of one's energy, etc.) | arrest | nominate",挙げる | 揚げる,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,上げる,あげる,上げます,あげます,上げました,あげました,上げません,あげません,上げない,あげない,上げた,あげた,上げて,あげて,上げられる,あげられる,上げられる,あげられる,上げさせる,あげさせる,上げさせられる,あげさせられる,上げよう,あげよう,上げれば,あげれば,上げたら,あげたら,上げろ,あげろ,上げるな,あげるな
verb-0038,見える,みえる,見える,208,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,intransitive,be seen,be seen | be in sight | look | seem | appear | come,,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,見える,みえる,見えます,みえます,見えました,みえました,見えません,みえません,見えない,みえない,見えた,みえた,見えて,みえて,見えられる,みえられる,見えられる,みえられる,見えさせる,みえさせる,見えさせられる,みえさせられる,見えよう,みえよう,見えれば,みえれば,見えたら,みえたら,見えろ,みえろ,見えるな,みえるな
verb-0039,頂く,いただく,頂く,210,和,True,True,True,v5k,godan,ku,godan-いて,transitive,receive,receive | get | accept | take | buy | eat | drink | be crowned with | wear (on one's head) | have (on top) | have (as one's leader) | live under (a ruler) | install (a president),戴く,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,頂く,いただく,頂きます,いただきます,頂きました,いただきました,頂きません,いただきません,頂かない,いただかない,頂いた,いただいた,頂いて,いただいて,頂ける,いただける,頂かれる,いただかれる,頂かせる,いただかせる,頂かせられる,いただかせられる,頂こう,いただこう,頂けば,いただけば,頂いたら,いただいたら,頂け,いただけ,頂くな,いただくな
