id,frequency_rank,source,source_id,source_rank,orthography,reading,romaji,english,verb_class,te_form_pattern,transitivity,register,example_ja,example_en
jv-0013,13,native_bccwj,verb-0021,105,聞く,きく,kiku,hear,ku,godan-いて,transitive,standard,駅で大きな音を聞いた。,I heard a loud sound at the station.
jv-0014,14,native_bccwj,verb-0023,109,知る,しる,shiru,know,ru,godan-って,transitive,standard,ニュースでその話を知った。,I learned about it from the news.
jv-0015,15,kango_suru,kango-suru-0001,1,勉強する,べんきょうする,benkyou suru,study,suru,suru-して,unspecified,standard,テストの前に勉強した。,I studied before the test.
jv-0016,16,native_bccwj,verb-0024,117,置く,おく,oku,put,ku,godan-いて,unspecified,standard,鍵を机の上に置いた。,I put the key on the desk.
jv-0017,17,native_bccwj,verb-0025,121,入る,はいる,hairu,enter,ru,godan-って,intransitive,standard,先生の後で教室に入った。,I entered the classroom after the teacher.
jv-0018,18,native_bccwj,verb-0026,124,作る,つくる,tsukuru,make,ru,godan-って,transitive,standard,昼にお弁当を作った。,I made a lunch box at noon.
jv-0019,19,kango_suru,kango-suru-0002,2,練習する,れんしゅうする,renshuu suru,practice,suru,suru-して,unspecified,standard,毎朝、少し練習した。,I practiced a little every morning.
jv-0020,20,native_bccwj,verb-0027,138,出す,だす,dasu,take out,su,godan-して,transitive,standard,かばんからノートを出した。,I took my notebook out of my bag.
jv-0021,21,kango_suru,kango-suru-0003,3,運動する,うんどうする,undou suru,exercise,suru,suru-して,unspecified,standard,朝、公園で運動した。,I exercised in the park in the morning.
jv-0022,22,native_bccwj,verb-0028,152,付ける,つける,tsukeru,attach,ichidan_ru,ichidan-て,transitive,standard,ノートに名前を付けた。,I put my name on the notebook.
jv-0023,23,native_bccwj,verb-0029,154,付く,つく,tsuku,be attached,ku,godan-いて,intransitive,standard,シャツに小さな汚れが付いた。,A small stain got on my shirt.
jv-0024,24,native_bccwj,verb-0030,158,受ける,うける,ukeru,receive,ichidan_ru,ichidan-て,both,standard,午後に授業を受けた。,I took a class in the afternoon.
jv-0025,25,kango_suru,kango-suru-0004,4,使用する,しようする,shiyou suru,use,suru,suru-して,unspecified,standard,仕事でこの道具を使用した。,I used this tool at work.
jv-0026,26,native_bccwj,verb-0031,166,書く,かく,kaku,write,ku,godan-いて,transitive,standard,先生に短いメールを書いた。,I wrote a short email to the teacher.
jv-0027,27,native_bccwj,verb-0032,167,貰う,もらう,morau,receive,u,godan-って,transitive,standard,友だちから本を貰った。,I received a book from my friend.
jv-0028,28,native_bccwj,verb-0033,171,得る,える,eru,get,ichidan_ru,ichidan-て,transitive,standard,先生からヒントを得た。,I got a hint from the teacher.
jv-0029,29,native_bccwj,verb-0034,172,掛ける,かける,kakeru,hang (e.g. picture),ichidan_ru,ichidan-て,transitive,standard,壁に小さな絵を掛けた。,I hung a small picture on the wall.
jv-0030,30,kango_suru,kango-suru-0005,5,利用する,りようする,riyou suru,use,suru,suru-して,unspecified,standard,仕事でこの道具を利用した。,I used this tool at work.
jv-0031,31,native_bccwj,verb-0035,185,知れる,しれる,shireru,become known,ichidan_ru,ichidan-て,intransitive,standard,その話はすぐ皆に知れた。,The story quickly became known to everyone.
jv-0032,32,kango_suru,kango-suru-0006,6,理解する,りかいする,rikai suru,understand,suru,suru-して,unspecified,standard,先生の話をやっと理解した。,I finally understood the teacher’s talk.
jv-0033,33,native_bccwj,verb-0036,190,入れる,いれる,ireru,put in,ichidan_ru,ichidan-て,transitive,standard,かばんに本を入れた。,I put the book in my bag.
jv-0034,34,native_bccwj,verb-0037,196,上げる,あげる,ageru,raise,ichidan_ru,ichidan-て,both,standard,質問があって手を上げた。,I raised my hand because I had a question.
jv-0035,35,kango_suru,kango-suru-0007,7,説明する,せつめいする,setsumei suru,explain,suru,suru-して,unspecified,standard,先生がルールを説明した。,The teacher explained the rule.
jv-0036,36,native_bccwj,verb-0038,208,見える,みえる,mieru,be seen,ichidan_ru,ichidan-て,intransitive,standard,窓から山が見えた。,I could see the mountain from the window.
jv-0037,37,kango_suru,kango-suru-0008,8,紹介する,しょうかいする,shoukai suru,introduce,suru,suru-して,unspecified,standard,友だちを先生に紹介した。,I introduced my friend to the teacher.
jv-0038,38,native_bccwj,verb-0040,220,掛かる,かかる,kakaru,"take (a resource, e.g. time or money)",ru,godan-って,intransitive,standard,駅まで一時間掛かった。,It took one hour to get to the station.
jv-0039,39,kango_suru,kango-suru-0009,9,連絡する,れんらくする,renraku suru,contact,suru,suru-して,unspecified,standard,駅に着いてから母に連絡した。,I contacted my mother after arriving at the station.
jv-0040,40,native_bccwj,verb-0041,232,食べる,たべる,taberu,eat,ichidan_ru,ichidan-て,transitive,standard,昼にお弁当を食べた。,I ate a lunch box at noon.
jv-0041,41,native_bccwj,verb-0042,233,教える,おしえる,oshieru,teach,ichidan_ru,ichidan-て,transitive,standard,先生は新しい言葉を教えた。,The teacher taught a new word.
jv-0042,42,native_bccwj,verb-0043,242,違う,ちがう,chigau,differ (from),u,godan-って,intransitive,standard,私の答えは少し違った。,My answer was a little different.
jv-0043,43,native_bccwj,verb-0044,244,始める,はじめる,hajimeru,start,ichidan_ru,ichidan-て,transitive,standard,朝から新しい仕事を始めた。,I started a new task in the morning.
jv-0044,44,kango_suru,kango-suru-0010,10,相談する,そうだんする,soudan suru,consult,suru,suru-して,unspecified,standard,学校のことで先生に相談した。,I consulted the teacher about school.
jv-0045,45,native_bccwj,verb-0045,257,変わる,かわる,kawaru,change,ru,godan-って,intransitive,standard,午後から天気が変わった。,The weather changed in the afternoon.
jv-0046,46,native_bccwj,verb-0046,258,過ぎる,すぎる,sugiru,pass through,ichidan_ru,ichidan-て,intransitive,standard,約束の時間が過ぎた。,The promised time passed.
jv-0047,47,kango_suru,kango-suru-0011,11,質問する,しつもんする,shitsumon suru,ask a question,suru,suru-して,unspecified,standard,授業の後で先生に質問した。,I asked the teacher a question after class.
jv-0048,48,native_bccwj,verb-0047,265,呼ぶ,よぶ,yobu,call out (to),bu,godan-んで,transitive,standard,母を大きな声で呼んだ。,I called my mother in a loud voice.
jv-0049,49,native_bccwj,verb-0048,274,買う,かう,kau,buy,u,godan-って,transitive,standard,駅の店で水を買った。,I bought water at the station shop.
jv-0050,50,kango_suru,kango-suru-0012,12,確認する,かくにんする,kakunin suru,confirm,suru,suru-して,unspecified,standard,出る前に時間を確認した。,I checked the time before leaving.
jv-0051,51,native_bccwj,verb-0049,283,続ける,つづける,tsuzukeru,continue,ichidan_ru,ichidan-て,transitive,standard,毎日ピアノを続けた。,I continued piano every day.
jv-0052,52,kango_suru,kango-suru-0013,13,準備する,じゅんびする,junbi suru,prepare,suru,suru-して,unspecified,standard,テストの前に準備した。,I prepared before the test.
jv-0053,53,native_bccwj,verb-0050,306,示す,しめす,shimesu,denote,su,godan-して,transitive,standard,地図で道を示した。,I showed the way on the map.
jv-0054,54,kango_suru,kango-suru-0014,14,予約する,よやくする,yoyaku suru,reserve,suru,suru-して,unspecified,standard,週末の席を予約した。,I reserved a seat for the weekend.
jv-0055,55,kango_suru,kango-suru-0015,15,参加する,さんかする,sanka suru,participate,suru,suru-して,unspecified,standard,週末、イベントに参加した。,I joined an event on the weekend.
jv-0056,56,slang,slang-0001,1,サボる,さぼる,saboru,slack off,godan,godan-って,unspecified,colloquial,同僚は仕事中にサボった。,My coworker slacked off at work.
jv-0057,57,native_bccwj,verb-0051,324,返る,かえる,kaeru,return,ru,godan-って,intransitive,standard,先生から答えが返った。,An answer came back from the teacher.
jv-0058,58,native_bccwj,verb-0053,328,切る,きる,kiru,cut,ru,godan-って,transitive,standard,紙をはさみで切った。,I cut the paper with scissors.
jv-0059,59,kango_suru,kango-suru-0016,16,到着する,とうちゃくする,touchaku suru,arrive,suru,suru-して,unspecified,standard,夕方、駅に到着した。,I arrived at the station in the evening.
jv-0060,60,native_bccwj,verb-0054,338,読む,よむ,yomu,read,mu,godan-んで,transitive,standard,寝る前に本を読んだ。,I read a book before bed.
jv-0061,61,slang,slang-0002,2,ググる,ぐぐる,guguru,google,godan,godan-って,unspecified,internet,知らない言葉をググった。,I googled an unfamiliar word.
jv-0062,62,native_bccwj,verb-0055,347,立つ,たつ,tatsu,stand,tsu,godan-って,intransitive,standard,駅の前に立った。,I stood in front of the station.
jv-0063,63,native_bccwj,verb-0056,351,話す,はなす,hanasu,talk,su,godan-して,transitive,standard,友だちと駅で少し話した。,I talked a little with a friend at the station.
jv-0064,64,kango_suru,kango-suru-0017,17,出発する,しゅっぱつする,shuppatsu suru,depart,suru,suru-して,unspecified,standard,朝早く家を出発した。,I left home early in the morning.
jv-0065,65,slang,slang-0003,3,ディスる,でぃする,di suru,diss,godan,godan-って,unspecified,slang,友だちが相手をディスった。,My friend dissed the other person.
jv-0066,66,kango_suru,kango-suru-0018,18,卒業する,そつぎょうする,sotsugyou suru,graduate,suru,suru-して,unspecified,standard,兄は春に学校を卒業した。,My older brother graduated from school in spring.
jv-0067,67,native_bccwj,verb-0057,378,求める,もとめる,motomeru,want,ichidan_ru,ichidan-て,transitive,standard,店員に助けを求めた。,I asked the clerk for help.
jv-0068,68,native_bccwj,verb-0058,379,与える,あたえる,ataeru,give (esp. to someone of lower status),ichidan_ru,ichidan-て,transitive,standard,先生は学生に宿題を与えた。,The teacher gave homework to the students.
jv-0069,69,kango_suru,kango-suru-0019,19,入学する,にゅうがくする,nyuugaku suru,enter school,suru,suru-して,unspecified,standard,妹は春に学校へ入学した。,My younger sister entered school in spring.
jv-0070,70,native_bccwj,verb-0059,383,生きる,いきる,ikiru,live,ichidan_ru,ichidan-て,intransitive,standard,祖母は小さな町で生きた。,My grandmother lived in a small town.
jv-0071,71,native_bccwj,verb-0060,386,飲む,のむ,nomu,drink,mu,godan-んで,transitive,standard,朝、温かいお茶を飲んだ。,I drank warm tea in the morning.
jv-0072,72,slang,slang-0004,4,バズる,ばずる,bazuru,go viral,godan,godan-って,unspecified,internet,その動画はすぐバズった。,That video quickly went viral.
jv-0073,73,native_bccwj,verb-0061,394,願う,ねがう,negau,desire,u,godan-って,transitive,standard,家族の健康を願った。,I wished for my family’s health.
jv-0074,74,kango_suru,kango-suru-0020,20,結婚する,けっこんする,kekkon suru,get married,suru,suru-して,unspecified,standard,友だちは去年結婚した。,My friend got married last year.
jv-0075,75,native_bccwj,verb-0062,404,待つ,まつ,matsu,wait,tsu,godan-って,both,standard,駅で友だちを待った。,I waited for my friend at the station.
jv-0076,76,native_bccwj,verb-0063,406,続く,つづく,tsuzuku,continue,ku,godan-いて,intransitive,standard,雨は夜まで続いた。,The rain continued until night.
jv-0077,77,native_bccwj,verb-0064,409,従う,したがう,shitagau,abide (by the rules),u,godan-って,intransitive,standard,子どもたちはルールに従った。,The children followed the rules.
jv-0078,78,slang,slang-0005,5,パクる,ぱくる,pakuru,rip off; steal,godan,godan-って,unspecified,slang,彼は人のアイデアをパクった。,He ripped off someone’s idea.
jv-0079,79,kango_suru,kango-suru-0021,21,料理する,りょうりする,ryouri suru,cook,suru,suru-して,unspecified,standard,夜、母と料理した。,I cooked with my mother at night.
jv-0080,80,native_bccwj,verb-0065,419,乗る,のる,noru,"get on (train, plane, bus, ship, etc.)",ru,godan-って,intransitive,standard,朝、電車に乗った。,I got on the train in the morning.
jv-0081,81,native_bccwj,verb-0066,421,認める,みとめる,mitomeru,recognize,ichidan_ru,ichidan-て,transitive,standard,自分の間違いを認めた。,I admitted my own mistake.
jv-0082,82,kango_suru,kango-suru-0022,22,掃除する,そうじする,souji suru,clean,suru,suru-して,unspecified,standard,朝、部屋を掃除した。,I cleaned my room in the morning.
jv-0083,83,native_bccwj,verb-0067,433,答える,こたえる,kotaeru,answer,ichidan_ru,ichidan-て,intransitive,standard,先生の質問に答えた。,I answered the teacher’s question.
jv-0084,84,slang,slang-0006,6,ミスる,みする,mi suru,mess up,godan,godan-って,unspecified,colloquial,大事なところでミスった。,I messed up at an important part.
jv-0085,85,native_bccwj,verb-0068,435,終わる,おわる,owaru,finish,ru,godan-って,intransitive,standard,夕方に仕事が終わった。,The work finished in the evening.
jv-0086,86,native_bccwj,verb-0069,436,開く,ひらく,hiraku,"open (e.g. a bank-account, festival, etc.)",ku,godan-いて,both,standard,朝、店が早く開いた。,The shop opened early in the morning.
jv-0087,87,kango_suru,kango-suru-0023,23,洗濯する,せんたくする,sentaku suru,do laundry,suru,suru-して,unspecified,standard,週末に服を洗濯した。,I did laundry on the weekend.
jv-0088,88,native_bccwj,verb-0070,446,会う,あう,au,meet,u,godan-って,intransitive,standard,週末に友だちに会った。,I met my friend on the weekend.
jv-0089,89,native_bccwj,verb-0071,451,戻る,もどる,modoru,turn back,ru,godan-って,intransitive,standard,忘れ物に気づいて家に戻った。,I returned home after noticing I forgot something.
jv-0090,90,slang,slang-0007,7,バグる,ばぐる,baguru,bug out,godan,godan-って,unspecified,gaming,ゲームが急にバグった。,The game suddenly bugged out.
jv-0091,91,kango_suru,kango-suru-0024,24,運転する,うんてんする,unten suru,drive,suru,suru-して,unspecified,standard,父は駅まで運転した。,My father drove to the station.
jv-0092,92,native_bccwj,verb-0072,467,歩く,あるく,aruku,walk,ku,godan-いて,intransitive,standard,朝、公園を歩いた。,I walked in the park in the morning.
jv-0093,93,native_bccwj,verb-0073,468,当たる,あたる,ataru,be hit,ru,godan-って,both,standard,ボールが窓に当たった。,The ball hit the window.
jv-0094,94,kango_suru,kango-suru-0025,25,旅行する,りょこうする,ryokou suru,travel,suru,suru-して,unspecified,standard,休みに京都へ旅行した。,I traveled to Kyoto during the break.
jv-0095,95,slang,slang-0008,8,ダブる,だぶる,daburu,double up,godan,godan-って,unspecified,colloquial,同じ予定がダブった。,The same plans overlapped.
jv-0096,96,native_bccwj,verb-0074,487,図る,はかる,hakaru,plot,ru,godan-って,transitive,standard,彼は次の手を図った。,He planned his next move.
jv-0097,97,kango_suru,kango-suru-0026,26,安心する,あんしんする,anshin suru,feel relieved,suru,suru-して,unspecified,standard,母の声を聞いて安心した。,I felt relieved after hearing my mother’s voice.
jv-0098,98,native_bccwj,verb-0075,492,向かう,むかう,mukau,face,u,godan-って,intransitive,standard,夕方、駅に向かった。,I headed to the station in the evening.
jv-0099,99,slang,slang-0009,9,パニクる,ぱにくる,panikuru,panic,godan,godan-って,unspecified,slang,急な電話でパニクった。,I panicked because of a sudden call.
jv-0100,100,kango_suru,kango-suru-0027,27,緊張する,きんちょうする,kinchou suru,get nervous,suru,suru-して,unspecified,standard,テストの前に緊張した。,I got nervous before the test.
jv-0101,101,kango_suru,kango-suru-0028,28,感謝する,かんしゃする,kansha suru,appreciate,suru,suru-して,unspecified,standard,友だちの助けに感謝した。,I appreciated my friend’s help.
jv-0102,102,native_bccwj,verb-0076,521,見せる,みせる,miseru,show,ichidan_ru,ichidan-て,transitive,standard,友だちに写真を見せた。,I showed a photo to my friend.
jv-0103,103,native_bccwj,verb-0077,526,死ぬ,しぬ,shinu,die,nu,godan-んで,intransitive,standard,古い木が台風で死んだ。,The old tree died in the typhoon.
jv-0104,104,slang,slang-0010,10,テンパる,てんぱる,tenparu,get flustered,godan,godan-って,unspecified,slang,テストの前にテンパった。,I got flustered before the test.
jv-0105,105,native_bccwj,verb-0078,532,変える,かえる,kaeru,change,ichidan_ru,ichidan-て,transitive,standard,午後から天気が変えた。,The weather changed in the afternoon.
jv-0106,106,kango_suru,kango-suru-0029,29,心配する,しんぱいする,shinpai suru,worry,suru,suru-して,unspecified,standard,母は弟を心配した。,My mother worried about my younger brother.
jv-0107,107,native_bccwj,verb-0079,541,残る,のこる,nokoru,remain,ru,godan-って,intransitive,standard,机の上にメモが残った。,A note remained on the desk.
jv-0108,108,slang,slang-0011,11,イキる,いきる,ikiru,act cocky,godan,godan-って,unspecified,slang,彼は勝った後でイキった。,He acted cocky after winning.
jv-0109,109,kango_suru,kango-suru-0030,30,失敗する,しっぱいする,shippai suru,fail,suru,suru-して,unspecified,standard,大事なテストで失敗した。,I failed an important test.
jv-0110,110,native_bccwj,verb-0080,565,選ぶ,えらぶ,erabu,choose,bu,godan-んで,transitive,standard,店で新しいかばんを選んだ。,I chose a new bag at the store.
jv-0111,111,kango_suru,kango-suru-0031,31,成功する,せいこうする,seikou suru,succeed,suru,suru-して,unspecified,standard,初めての発表は成功した。,My first presentation succeeded.
jv-0112,112,native_bccwj,verb-0081,570,生まれる,うまれる,umareru,be born,ichidan_ru,ichidan-て,intransitive,standard,妹は春に生まれた。,My younger sister was born in spring.
jv-0113,113,native_bccwj,verb-0082,572,合わせる,あわせる,awaseru,"match (rhythm, speed, etc.)",ichidan_ru,ichidan-て,transitive,standard,友だちと予定を合わせた。,I matched my schedule with my friend.
jv-0114,114,slang,slang-0012,12,キョドる,きょどる,kyodoru,act awkwardly,godan,godan-って,unspecified,slang,知らない人の前でキョドった。,I acted awkwardly in front of strangers.
jv-0115,115,native_bccwj,verb-0083,578,進む,すすむ,susumu,advance,mu,godan-んで,intransitive,standard,計画は少しずつ進んだ。,The plan moved forward little by little.
jv-0116,116,kango_suru,kango-suru-0032,32,決定する,けっていする,kettei suru,decide,suru,suru-して,unspecified,standard,会で次の予定を決定した。,We decided the next plan at the meeting.
jv-0117,117,native_bccwj,verb-0084,585,定める,さだめる,sadameru,decide,ichidan_ru,ichidan-て,transitive,standard,会で次の予定を定めた。,We decided the next plan at the meeting.
jv-0118,118,native_bccwj,verb-0085,589,加える,くわえる,kuwaeru,append,ichidan_ru,ichidan-て,transitive,standard,リストに新しい名前を加えた。,I added a new name to the list.
jv-0119,119,native_bccwj,verb-0086,590,始まる,はじまる,hajimaru,begin,ru,godan-って,intransitive,standard,九時に授業が始まった。,Class began at nine.
jv-0120,120,slang,slang-0013,13,メモる,めもる,memoru,jot down,godan,godan-って,unspecified,colloquial,大事な番号をメモった。,I jotted down the important number.
jv-0121,121,kango_suru,kango-suru-0033,33,判断する,はんだんする,handan suru,judge,suru,suru-して,unspecified,standard,先生は答えを判断した。,The teacher judged the answer.
jv-0122,122,native_bccwj,verb-0087,602,走る,はしる,hashiru,run,ru,godan-って,intransitive,standard,夕方、公園を走った。,I ran in the park in the evening.
jv-0123,123,native_bccwj,verb-0088,603,忘れる,わすれる,wasureru,forget,ichidan_ru,ichidan-て,transitive,standard,家に財布を忘れた。,I forgot my wallet at home.
jv-0124,124,native_bccwj,verb-0089,604,関わる,かかわる,kakawaru,be affected,ru,godan-って,intransitive,standard,その仕事に関わった。,I was involved in that work.
jv-0125,125,kango_suru,kango-suru-0034,34,選択する,せんたくする,sentaku suru,choose,suru,suru-して,unspecified,standard,店で新しいかばんを選択した。,I chose a new bag at the store.
jv-0126,126,native_bccwj,verb-0090,614,働く,はたらく,hataraku,work,ku,godan-いて,intransitive,standard,兄は駅の近くで働いた。,My older brother worked near the station.
jv-0127,127,native_bccwj,verb-0091,615,送る,おくる,okuru,send (a thing),ru,godan-って,transitive,standard,先生にメールを送った。,I sent an email to the teacher.
jv-0128,128,native_bccwj,verb-0092,617,渡る,わたる,wataru,cross over,ru,godan-って,intransitive,standard,みんなで橋を渡った。,We crossed the bridge together.
jv-0129,129,native_bccwj,verb-0093,619,決める,きめる,kimeru,decide,ichidan_ru,ichidan-て,transitive,standard,会で次の予定を決めた。,We decided the next plan at the meeting.
jv-0130,130,slang,slang-0014,14,ガチャる,がちゃる,gacharu,pull gacha,godan,godan-って,unspecified,gaming,友だちはゲームでガチャった。,My friend pulled gacha in the game.
jv-0131,131,native_bccwj,verb-0094,624,述べる,のべる,noberu,state,ichidan_ru,ichidan-て,transitive,standard,会で大事な点を述べた。,I said the important point at the meeting.
jv-0132,132,native_bccwj,verb-0095,627,起こる,おこる,okoru,occur,ru,godan-って,intransitive,standard,大きな問題が起こった。,A big problem occurred.
jv-0133,133,kango_suru,kango-suru-0035,35,比較する,ひかくする,hikaku suru,compare,suru,suru-して,unspecified,standard,二つの値段を比較した。,I compared the two prices.
jv-0134,134,native_bccwj,verb-0096,634,基づく,もとづく,motozuku,be grounded on,ku,godan-いて,intransitive,standard,この話は本に基づいた。,This story was based on a book.
jv-0135,135,slang,slang-0015,15,凸る,とつる,totsuru,raid; jump into,godan,godan-って,unspecified,internet,友だちは配信に凸った。,My friend jumped into the stream.
jv-0136,136,native_bccwj,verb-0097,644,越える,こえる,koeru,cross over,ichidan_ru,ichidan-て,intransitive,standard,みんなで橋を越えた。,We crossed the bridge together.
jv-0137,137,kango_suru,kango-suru-0036,36,想像する,そうぞうする,souzou suru,imagine,suru,suru-して,unspecified,standard,帰る前にもう一度想像した。,I thought about it once more before going home.
jv-0138,138,native_bccwj,verb-0099,655,立てる,たてる,tateru,stand up,ichidan_ru,ichidan-て,transitive,standard,机の横に傘を立てた。,I stood the umbrella beside the desk.
jv-0139,139,native_bccwj,verb-0100,656,比べる,くらべる,kuraberu,compare,ichidan_ru,ichidan-て,transitive,standard,二つの値段を比べた。,I compared the two prices.
jv-0140,140,native_bccwj,verb-0101,661,向ける,むける,mukeru,turn towards,ichidan_ru,ichidan-て,transitive,standard,午後から天気が向けた。,The weather changed in the afternoon.
jv-0141,141,kango_suru,kango-suru-0037,37,期待する,きたいする,kitai suru,expect,suru,suru-して,unspecified,standard,帰る前にもう一度期待した。,I thought about it once more before going home.
jv-0142,142,slang,slang-0016,16,ハブる,はぶる,haburu,leave out,godan,godan-って,unspecified,slang,彼をグループからハブった。,They left him out of the group.
jv-0143,143,native_bccwj,verb-0102,674,進める,すすめる,susumeru,advance,ichidan_ru,ichidan-て,transitive,standard,計画は少しずつ進めた。,The plan moved forward little by little.
jv-0144,144,kango_suru,kango-suru-0038,38,経験する,けいけんする,keiken suru,experience,suru,suru-して,unspecified,standard,初めて一人旅を経験した。,I experienced traveling alone for the first time.
jv-0145,145,native_bccwj,verb-0103,681,笑う,わらう,warau,laugh,u,godan-って,intransitive,standard,みんなが冗談を聞いて笑った。,Everyone laughed after hearing the joke.
jv-0146,146,slang,slang-0017,17,バテる,ばてる,bateru,get exhausted,ichidan,ichidan-て,unspecified,colloquial,長い練習でバテた。,I got exhausted from long practice.
jv-0147,147,kango_suru,kango-suru-0039,39,活動する,かつどうする,katsudou suru,be active,suru,suru-して,unspecified,standard,学生たちは放課後に活動した。,The students were active after school.
jv-0148,148,native_bccwj,verb-0104,694,済む,すむ,sumu,finish,mu,godan-んで,intransitive,standard,夕方までに仕事が済んだ。,The work finished by evening.
jv-0149,149,native_bccwj,verb-0105,696,用いる,もちいる,mochiiru,use,ichidan_ru,ichidan-て,transitive,standard,仕事でこの道具を用いた。,I used this tool at work.
jv-0150,150,native_bccwj,verb-0106,708,動く,うごく,ugoku,move,ku,godan-いて,intransitive,standard,計画は少しずつ動いた。,The plan moved forward little by little.
jv-0151,151,kango_suru,kango-suru-0040,40,生活する,せいかつする,seikatsu suru,live,suru,suru-して,unspecified,standard,祖母は小さな町で生活した。,My grandmother lived in a small town.
jv-0152,152,native_bccwj,verb-0107,709,引く,ひく,hiku,pull,ku,godan-いて,both,standard,重いドアを引いた。,I pulled the heavy door.
jv-0153,153,slang,slang-0018,18,キレる,きれる,kireru,snap,ichidan,ichidan-て,unspecified,slang,失礼な言葉でキレた。,I snapped at the rude words.
jv-0154,154,native_bccwj,verb-0108,719,打つ,うつ,utsu,hit,tsu,godan-って,transitive,standard,ボールを強く打った。,I hit the ball hard.
jv-0155,155,native_bccwj,verb-0109,723,止める,やめる,yameru,stop,ichidan_ru,ichidan-て,transitive,standard,駅の前で車が止めた。,The car stopped in front of the station.
jv-0156,156,kango_suru,kango-suru-0041,41,約束する,やくそくする,yakusoku suru,promise,suru,suru-して,unspecified,standard,友だちと昼に会うと約束した。,I promised to meet my friend at noon.
jv-0157,157,native_bccwj,verb-0110,725,守る,まもる,mamoru,protect,ru,godan-って,transitive,standard,子どもたちはルールを守った。,The children followed the rules.
jv-0158,158,slang,slang-0019,19,バレる,ばれる,bareru,get found out,ichidan,ichidan-て,unspecified,colloquial,小さなうそがバレた。,The small lie got found out.
jv-0159,159,native_bccwj,verb-0112,740,住む,すむ,sumu,live (of humans),mu,godan-んで,intransitive,standard,祖母は小さな町で住んだ。,My grandmother lived in a small town.
jv-0160,160,kango_suru,kango-suru-0042,42,注意する,ちゅういする,chuui suru,be careful,suru,suru-して,unspecified,standard,道を歩く時に注意した。,I was careful when walking on the road.
jv-0161,161,native_bccwj,verb-0113,746,楽しむ,たのしむ,tanoshimu,enjoy (oneself),mu,godan-んで,unspecified,standard,家族で週末を楽しんだ。,My family enjoyed the weekend.
jv-0162,162,native_bccwj,verb-0114,754,頑張る,がんばる,ganbaru,persevere,ru,godan-って,intransitive,standard,テストの前に毎日頑張った。,I worked hard every day before the test.
jv-0163,163,native_bccwj,verb-0115,755,伝える,つたえる,tsutaeru,convey,ichidan_ru,ichidan-て,transitive,standard,会で大事な点を伝えた。,I said the important point at the meeting.
jv-0164,164,kango_suru,kango-suru-0043,43,遠慮する,えんりょする,enryo suru,hold back,suru,suru-して,unspecified,standard,彼は少し遠慮した。,He held back a little.
jv-0165,165,slang,slang-0020,20,モテる,もてる,moteru,be popular,ichidan,ichidan-て,unspecified,slang,彼はクラスでモテた。,He was popular in class.
jv-0166,166,native_bccwj,verb-0116,769,勧める,すすめる,susumeru,recommend,ichidan_ru,ichidan-て,transitive,standard,友だちにこの本を勧めた。,I recommended this book to my friend.
jv-0167,167,kango_suru,kango-suru-0044,44,我慢する,がまんする,gaman suru,endure,suru,suru-して,unspecified,standard,痛かったが我慢した。,"It hurt, but I endured it."
jv-0168,168,native_bccwj,verb-0117,775,増える,ふえる,fueru,increase,ichidan_ru,ichidan-て,intransitive,standard,午後に人が増えた。,The number of people increased in the afternoon.
jv-0169,169,native_bccwj,verb-0118,785,気付く,きづく,kizuku,notice,ku,godan-いて,unspecified,standard,駅で忘れ物に気付いた。,I noticed my forgotten item at the station.
